검색어,기업명,기업형태,지역,업종,자본금,매출액,대표자,설립일
새로닉스,제이에이치화학공업㈜,중견기업,경북 김천시,축전지 제조업,178억 2천만원(2024.12.31),319억 7천만원(2024.12.31),이병희,2011.01.08(15년차)
새로닉스,㈜산코 코리아,중소기업,경북 구미시,기타 반도체소자 제조업,60억원(2024.12.31),579억 3천만원(2024.12.31),허제홍,2010.06.16(16년차)
새로닉스,광성전자㈜,중소기업,경북 칠곡군,그 외 기타 전자부품 제조업,10억원(2024.12.31),93억 5천만원(2024.12.31),허제홍,1994.08.01(32년차)
케이아이에스정보통신(주)옥천부산방향휴게소,-,-,-,-,-,-,-,-
금천,금천,중소기업,서울 금천구,지방행정 집행기관,-,-,유성훈,1995.03.01(31년차)
금천,금천,중견기업,경기 부천시,음식료·외식·프랜차이즈,145억 5천만원,-,신정훈,1945(81년차)
금천,금천,중소기업,충남 당진시,기계·기계설비,5억원,290억,박판상,2000.10.09(26년차)
금천,금천,중소기업,경기 안산시,인쇄회로기판용 적층판 제조업,"7억 5,000만원(2014.12.31)",116억 2백만원(2014.12.31),이광중,2006.04.01(20년차)
금천,금천,중소기업,경기 안양시,가금류 가공 및 저장 처리업,500만원(2022.12.31),42억 4천만원(2022.12.31),이태희,2016.01.01(10년차)
금천,금천,중소기업,경북 경주시,호텔·여행·항공,3억원,16억,이완,2006.03.03(20년차)
금천,금천,중소기업,전북 전주시,포장 공사업,5억원(2023.06.30),24억 7천만원(2023.06.30),김기수/안혜경,1998.12.02(28년차)
금천,금천,중소기업,광주 북구,건설·시공·토목·조경,5억원,20억,김문한,2004(22년차)
금천,금천,중소기업,경기 포천시,금속·재료·자재,"6억 1,300만원",21억,김 해복,2009.09.03(17년차)
금천,금천,-,-,-,-,-,박현종,-
디엘팜,-,-,-,-,-,-,-,-
레터스그룹,-,-,-,-,-,-,-,-
휴릭스,㈜휴엔릭스,중소기업,서울 금천구,경영 컨설팅업,"1,000만원(2023.12.31)",10억 2천만원(2023.12.31),김승진,2016.03.22(10년차)
